A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,"Nome textual UF; B/C/v050 só têm código UF (V1101). Não há V-code histórico para nome."
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,"3 sources concordam"
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,"Nome textual meso; B/C/v050 só têm código (V7001)."
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,N,Y,HIGH,"3 sources concordam (HH)"
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,"Nome textual micro; B/C/v050 só têm código (V7002)."
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,N,Y,HIGH,"3 sources concordam (HH)"
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,"Nome textual município; B/C/v050 só têm código (V1102)."
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,"Categorias batem (Não Metro / 11 RMs); v050 presente em ambos. Diff: A inclui 10=Brasília e 11=Vitória, B/C param em 9=Porto Alegre. Diferença plausível de codificação."
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,"3 sources concordam"
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,"Categorias 1-8 batem perfeitamente (urbanizada/não urbanizada/etc.)"
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,"Categorias 1-6 batem (Rede geral c/canalização etc.). A inclui 7=NSA explicit; B/C usam 'branco'."
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,"Categorias 0-9 batem; A acrescenta 10=NSA"
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,"3 sources concordam (numérico)"
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,"Categorias 0=Não tem / 1=Tem batem"
