A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
1,0,2,,,,,,N,N,CANNOT_MAP,artifact row from parsing — not a real IBGE variable
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,A is descriptive UF name (string); B/C have V1101 as numeric UF code; v050 has name_state derived; no direct V-code for textual UF name in B/C
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,3 sources agree — UF numeric code; UF categories match (11–53)
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,A is descriptive mesoregion name (string); B/C have V7001 as numeric meso code; no V-code for textual name in B/C
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,HIGH,3 sources agree — meso numeric code; aux file referenced in B
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,descriptive micro name (string); only numeric V7002 exists in B/C
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,HIGH,3 sources agree — micro numeric code
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,descriptive municipality name (string); only numeric V1102 exists in B/C
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,3 sources agree — categories near-identical (0=Não Metropolitana ... 9=Porto Alegre); A includes 10=Brasilia and 11=Vitoria additionally — note A has 2 extra metros vs B/C list of 9
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,3 sources agree — muni numeric code; aux file referenced in B
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,3 sources agree — 8 categories Área Urbanizada → Área Rural match exactly; A label says 'Setor' but values are setor situation = domicile situation in 1991
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,3 sources agree — 6 categories rede geral / poço / outra × com/sem canalização match exactly
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,3 sources agree — 10 faixas (0=Não paga ... 9=Sem Declaração) match
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,3 sources agree — numeric value of monthly rent
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,3 sources agree — 0=Não tem 1=Tem
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,3 sources agree — 0=Não tem 1=Um 2=Dois 3=Três ou mais
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,3 sources agree — 0=Não tem 1=Próprio 2=Cedido
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,3 sources agree — 0=Não tem ... 5=cinco ou mais
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,3 sources agree — household ID number on CD107
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,3 sources agree — 8 categories (Laje concreto / Telha barro / etc) match
