A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,"Nome textual da UF; B/C só têm V1101 (código numérico). v050 expõe name_state derivado em add_geography_cols a partir do code_state — não há V-code histórico para o nome textual."
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,"Tripla concordância — código numérico UF (11–53). v050 expõe V1101 e code_state."
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,"Nome textual da mesorregião; B/C apenas V7001 (código). Sem V-code histórico para nome textual."
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,N,N,MED,"B+C concordam V7001. v050 expõe code_meso (renomeação canônica) — não há V7001 literal nas colunas v050, logo N/N. Por isso MED ao invés de HIGH."
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,"Nome textual da microrregião; sem equivalente em B/C/v050."
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,N,N,MED,"B+C V7002. v050 expõe code_micro renomeado; literal V7002 ausente em v050."
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,"Nome textual do município; B/C só V1102 (código). v050 não inclui name_muni para 1991."
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,"Categorias 0=Não Metropolitana, 1=Belém ... 9=Porto Alegre batem nas 3 fontes. A traz 10=Brasília e 11=Vitória extras (atualização IBGE 2025); V-code idêntico."
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,"Tripla concordância — código numérico município."
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,"8 categorias 1-8 batem (Área Urbanizada → Área Rural). A diz 'Setor' mas semantica IBGE 1991 é situação do domicílio = situação do setor."
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,"6 categorias (rede/poço/outra × com/sem canalização) batem; A.7=NSA é o branco doc B/C."
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,"10 faixas (0=Não paga, 1-8 SM, 9=Sem decl) batem; A.10=NSA é o branco."
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,"Numérico; 0=não paga, 999998-999999=NSA/Ignorado batem."
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,"0/1 batem."
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,"0-3 (Não tem ... Três ou mais) batem."
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,"0=Não tem, 1=Próprio, 2=Cedido batem."
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,"0-5 com 5=cinco ou mais batem."
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,"Numérico ID; A explicitamente referencia CD 1.07."
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,"8 categorias (Laje, Telha barro, Telha cimento, Zinco, Madeira, Palha, Mat aproveitado, Outro) batem."
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,HIGH,"7 categorias (Não tem, Gás canal, Botijão, Lenha, Botijão+lenha, Carvão, Outro) batem."
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,HIGH,"0=9 ou mais bate convenção IBGE; 1-8=número."
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,HIGH,"Numérico."
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,HIGH,"6 categorias (Próprio constr+terreno ... Outra) batem."
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,HIGH,"Faixas Até 0,5 → Mais de 2 batem."
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,HIGH,"REAL numérico."
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,HIGH,"7 faixas (Até 1 → Mais de 4) batem."
DEMODORM,9.17,Densidade morador dormitorio,V2121,V2121,Densidade de Moradores por Dormitório,V2121,Densidade de Moradores por Dormitório,Y,Y,HIGH,"REAL numérico."
ESPECIE,9.18,Especie do domicilio,V0201,V0201,Espécie do Domicílio,V0201,Espécie do Domicílio,Y,Y,HIGH,"1=Particular Permanente, 2=Improvisado, 3=Coletivo batem."
FILTRO,9.19,Filtro de agua,V0216,V0216,Filtro de Água,V0216,Filtro de Água,Y,Y,HIGH,"0/1 batem."
FREEZER,9.20,Freezer,V0225,V0225,Freezer,V0225,Freezer,Y,Y,HIGH,"0/1 batem."
GELADEIR,9.21,Geladeira,V0222,V0222,Geladeira,V0222,Geladeira,Y,Y,HIGH,"0=Não tem, 1=Uma porta, 2=Mais de uma batem."
ILUMINA,9.22,Iluminacao,V0221,V0221,Iluminação,V0221,Iluminação,Y,Y,HIGH,"4 categorias (Elétrica c/ medidor, Elétrica s/ medidor, Óleo/querosene, Outra)."
LIXO,9.23,Destino do lixo,V0214,V0214,Destino do Lixo,V0214,Destino do Lixo,Y,Y,HIGH,"7 categorias (Coletado direto/indireto, Queimado, Enterrado, Terreno baldio, Rio/lago, Outro) batem."
LOCALIZA,9.24,Localizacao,V0202,V0202,Localização,V0202,Localização,Y,Y,HIGH,"7 categorias (Casa isolada, conjunto, aglomerado, Apto isolado, conjunto, aglomerado, Cômodo) batem."
MAQLAVAR,9.25,Maquina lavar roupa,V0226,V0226,Máquina de Lavar Roupa,V0226,Máquina de Lavar Roupa,Y,Y,HIGH,"0/1 batem."
PAREDES,9.26,Paredes,V0203,V0203,Paredes,V0203,Paredes,Y,Y,HIGH,"6 categorias (Alvenaria, Madeira, Taipa, Mat aproveitado, Palha, Outro) batem."
PESO,9.27,Peso de expansao,V7300,V7300,Peso ou Fator para Expansão da Amostra,V7300,Peso ou Fator para Expansão da Amostra,Y,Y,MED,"PESO está em seção 9 (domicílio) → V7300. v050_pop tem ambos V7300 e V7301; v050_hh só V7300. Ambíguo se A entrega o mesmo valor PESO usado nos dois parquets — provavelmente sim por replicação domicílio→pessoa."
