A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,"name_state-like; not a V-code in B/C/v050 — only abbrev/name geographic helpers exist"
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,3 sources agree
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,nome textual; v050 só tem code_meso (numérico) e nenhum V-code de nome
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,HIGH,3 sources agree
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,sem V-code histórico
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,HIGH,3 sources agree
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,sem V-code histórico
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,A inclui Brasilia=10/Vitoria=11 — IBGE doc só lista até 9 mas é a mesma var
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,3 sources agree
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,categorias 1-8 idênticas
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,categorias batem
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,3 sources agree
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,3 sources agree
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,3 sources agree
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,3 sources agree
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,3 sources agree
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,3 sources agree
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,3 sources agree
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,3 sources agree
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,HIGH,3 sources agree
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,HIGH,3 sources agree
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,HIGH,3 sources agree
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,HIGH,3 sources agree
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,HIGH,3 sources agree
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,HIGH,3 sources agree
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,HIGH,3 sources agree
DEMODORM,9.17,Densidade morador dormitorio,V2121,V2121,Densidade de Moradores por Dormitório,V2121,Densidade de Moradores por Dormitório,Y,Y,HIGH,3 sources agree
ESPECIE,9.18,Especie do domicilio,V0201,V0201,Espécie do Domicílio,V0201,Espécie do Domicílio,Y,Y,HIGH,categorias 1=Particular permanente,2=Particular improvisado,3=Coletivo idênticas
FILTRO,9.19,Filtro de agua,V0216,V0216,Filtro de Água,V0216,Filtro de Água,Y,Y,HIGH,3 sources agree
FREEZER,9.20,Freezer,V0225,V0225,Freezer,V0225,Freezer,Y,Y,HIGH,3 sources agree
GELADEIR,9.21,Geladeira,V0222,V0222,Geladeira,V0222,Geladeira,Y,Y,HIGH,3 sources agree
ILUMINA,9.22,Iluminacao,V0221,V0221,Iluminação,V0221,Iluminação,Y,Y,HIGH,3 sources agree
LIXO,9.23,Destino do lixo,V0214,V0214,Destino do Lixo,V0214,Destino do Lixo,Y,Y,HIGH,3 sources agree
LOCALIZA,9.24,Localizacao,V0202,V0202,Localização,V0202,Localização,Y,Y,HIGH,3 sources agree
MAQLAVAR,9.25,Maquina lavar roupa,V0226,V0226,Máquina de Lavar Roupa,V0226,Máquina de Lavar Roupa,Y,Y,HIGH,3 sources agree
PAREDES,9.26,Paredes,V0203,V0203,Paredes,V0203,Paredes,Y,Y,HIGH,3 sources agree
PESO,9.27,Peso de expansao,V7300,V7300,Peso ou Fator para Expansão da Amostra,V7300,Peso ou Fator para Expansão da Amostra,Y,Y,HIGH,V7300 (hh) e V7301 (pop) coexistem em v050; PESO em A é o do domicílio
RADIO,9.28,Radio,V0220,V0220,Rádio,V0220,Rádio,Y,Y,HIGH,3 sources agree
RDOMICIV,9.29,Renda domiciliar,V2012,V2012,Rendimento Nominal Médio Mensal Domiciliar,V2012,Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,3 sources agree
RDONOMIF,9.30,Faixa renda dom nominal,V2013,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,3 sources agree
RDOREALF,9.31,Faixa renda dom real,V2014,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,Y,Y,HIGH,3 sources agree
SANESCOA,9.32,Instalacao Sanit. - Escoadouro,V0206,V0206,Instalação Sanitária,V0206,Instalação Sanitária,Y,Y,HIGH,categorias batem
SANUSO,9.33,Inst Sanit - Uso,V0207,V0207,Uso da Instalação Sanitária,V0207,Uso da Instalação Sanitária,Y,Y,HIGH,3 sources agree
TELEFONE,9.34,Telefone,V0217,V0217,Telefone,V0217,Telefone,Y,Y,HIGH,3 sources agree
TVCORES,9.35,Televisao em cores,V0224,V0224,Televisão em Cores,V0224,Televisão em Cores,Y,Y,HIGH,3 sources agree
TVPRETO,9.36,Televisao em preto e branco,V0223,V0223,Televisão Preto e Branco,V0223,Televisão Preto e Branco,Y,Y,HIGH,3 sources agree
ESPFAM,10.1,Especie de familia,V2011,V2011,Espécie de Família,V2011,Espécie de Família,Y,N,HIGH,categorias 1=Nuclear/2=Estendida/3=Composta/4=Unipessoal idênticas
NUMFAM,10.2,Familia a que pertence,V0304,V0304,Tipo de Família,V0304,Tipo de Família,Y,N,HIGH,categorias 1-7 idênticas
RFACHCAF,10.3,Faixa renda casal nominal,V3044,V3044,Faixas de Renda do Casal,V3044,Faixas de Renda do Casal,Y,N,HIGH,3 sources agree
RFACHCAV,10.4,Renda casal,V3043,V3043,Renda do Casal,V3043,Renda do Casal,Y,N,HIGH,3 sources agree
RFAMILIV,10.5,Renda familiar,V3045,V3045,Rendimento Nominal Médio Mensal Familiar,V3045,Rendimento Nominal Médio Mensal Familiar,Y,N,HIGH,3 sources agree
RFANOMIF,10.6,Faixa renda familiar nominal,V3046,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,Y,N,HIGH,3 sources agree
RFAPCAPF,10.7,Faixa renda per capita nominal,V3049,V3049,Faixas de Rendimento Nominal Médio Mensal Familiar Per Capita,V3049,Faixas de Rendimento Nominal Médio Mensal Familiar Per Capita,Y,N,HIGH,3 sources agree
RFAPCAPV,10.8,Renda familiar per capita,,,,,,N,N,CANNOT_MAP,"valor numérico per capita; B/C só listam V3049 (faixas) — não há V-code para o valor contínuo per capita; v050 também não tem"
RFAREALF,10.9,Faixa renda familiar real,V3047,V3047,Faixas de Rendimento Real Médio Mensal Familiar,V3047,Faixas de Rendimento Real Médio Mensal Familiar,Y,N,HIGH,3 sources agree
APOPENS,11.1,Aposentado e/ou pensionista,V0359,V0359,Aposentado ou Pensionista,V0359,Aposentado ou Pensionista,Y,N,HIGH,categorias 0=Não é/1=Aposentado/2=Pensionista/3=Aposentado e Pensionista idênticas
ATIVIDAD,11.2,Codigo da Atividade,V0347,V0347,Código da Atividade,V0347,Código da Atividade,Y,N,HIGH,3 sources agree
ATIVISET,11.3,Setor de atividade,V3471,V3471,Setor de Atividade,V3471,Setor de Atividade,Y,N,HIGH,categorias batem (1-11)
CARTASS,11.4,Tem carteira trab. assinada,V0350,V0350,Posse de Carteira de Trabalho Assinada,V0350,Posse de Carteira de Trabalho Assinada,Y,N,HIGH,3 sources agree
CONPREV,11.5,Contribuinte previdencia,V0353,V0353,Contribuição para Instituto de Previdência Pública,V0353,Contribuição para Instituto de Previdência Pública,Y,N,HIGH,3 sources agree
DEFICIE,11.6,Deficiencia,V0311,V0311,Deficiência Física ou Mental,V0311,Deficiência Física ou Mental,Y,N,HIGH,categorias 0-9 idênticas
EDANOEST,11.7,Anos de estudo,V3241,V3241,Anos de Estudo,V3241,Anos de Estudo,Y,N,HIGH,categorias 0/1-17/20/30 idênticas
EDCURSNS,11.8,Curso nao seriado,V0326,V0326,Grau que freqüenta em curso não seriado,V0326,Grau que freqüenta em curso não seriado,Y,N,HIGH,3 sources agree
EDCURSO,11.9,Curso concluido,V0329,V0329,Curso Concluído,V0329,Curso Concluído,Y,N,HIGH,extenso código de cursos bate
EDGRAU,11.10,Grau que frequenta,V0325,V0325,Grau que freqüenta em curso seriado,V0325,Grau que freqüenta em curso seriado,Y,N,HIGH,categorias 0-5 + NSA idênticas
EDSABELE,11.11,Sabe ler escrever,V0323,V0323,Alfabetização,V0323,Alfabetização,Y,N,HIGH,categorias 1=Sabe ler e escrever/2=Não sabe idênticas
EDSERIE,11.12,Serie que frequenta,V0324,V0324,Série que freqüenta,V0324,Série que freqüenta,Y,N,HIGH,categorias 0-8 idênticas
EDULGRAU,11.13,Grau da ultima serie,V0328,V0328,Grau da última série concluída com aprovação,V0328,Grau da última série concluída com aprovação,Y,N,HIGH,categorias 0-8 idênticas
EDULSERI,11.14,Ultima serie concluida,V0327,V0327,Última série concluída com aprovação,V0327,Última série concluída com aprovação,Y,N,HIGH,categorias 0-9 idênticas
EMPESTB,11.15,Num. empregados estabelecimento,V0351,V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.",V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.",Y,N,HIGH,categorias 1-8 batem (A tem 7=Afazeres dom. vs B/C=Trab. doméstico — semantically equivalent given context)
FLDOMICH,11.16,Filhos moram domicilio - homem,V0335,V0335,Filhos Tidos que moram no domicílio,V0335,Filhos Tidos que moram no domicílio,Y,N,HIGH,"A_descricao 'moram domicilio' = B/C 'moram no domicílio'; V0335 corresponde a homens (filhos), V0336 a mulheres (filhas) — em pares de 4 vars (335/336 = no domicilio, 337/338 = em outro domicilio); A explicita 'homem' confirma — A FLNAODOH ('Filhos nao moram domicilio') mapeia separadamente para V0337"
FLDOMICM,11.17,Filhas moram domicilio -mulher,V0336,V0336,Filhas Tidas que moram no domicílio,V0336,Filhas Tidas que moram no domicílio,Y,N,HIGH,"complemento de FLDOMICH (filhas, no domicílio); FLNAODOM ('Filhas nao moram domicilio') mapeia separadamente para V0338"
FLMORTOH,11.18,Filhos mortos - homem,V0339,V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),Y,N,HIGH,"semanticamente filhos mortos = nascidos vivos que já morreram (gênero homem)"
FLMORTOM,11.19,Filhas mortas - mulher,V0340,V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),Y,N,HIGH,complemento mulher
FLNAMORH,11.20,Filhos nascidos mortos - homem,V0341,V0341,Filhos Tidos Nascidos Mortos (Homens),V0341,Filhos Tidos Nascidos Mortos (Homens),Y,N,HIGH,3 sources agree
FLNAMORM,11.21,Filhas nascidas mortas - mulher,V0342,V0342,Filhas Tidas Nascidas Mortas (Mulheres),V0342,Filhas Tidas Nascidas Mortas (Mulheres),Y,N,HIGH,3 sources agree
FLNAMORT,11.22,Total filhos nascidos mortos,V3357,V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),Y,N,HIGH,3 sources agree
FLNAODOH,11.23,Filhos nao moram domicilio,V0337,V0337,Filhos Tidos que moram em outro domicílio (Homens),V0337,Filhos Tidos que moram em outro domicílio (Homens),Y,N,HIGH,'Não moram (neste) domicílio' = 'moram em outro domicílio' — par com FLDOMICH
FLNAODOM,11.24,Filhas nao moram domicilio,V0338,V0338,Filhas Tidas que moram em outro domicílio (Mulheres),V0338,Filhas Tidas que moram em outro domicílio (Mulheres),Y,N,HIGH,par com FLDOMICM
FLNAVIVH,11.25,Filhos nascidos vivos - homem,V3355,V3355,Número de Filhos Tidos Nascidos Vivos(Homens),V3355,Número de Filhos Tidos Nascidos Vivos(Homens),Y,N,HIGH,3 sources agree
FLNAVIVM,11.26,Filhas nascidas vivas - mulher,V3356,V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),Y,N,HIGH,3 sources agree
FLNAVIVT,11.27,Total filhos nascidos vivos,V3354,V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),Y,N,HIGH,3 sources agree
FLTIDOSH,11.28,Filhos tidos - homem,V3352,V3352,Número de Filhos Tidos (Homens),V3352,Número de Filhos Tidos (Homens),Y,N,HIGH,3 sources agree
FLTIDOSM,11.29,Filhas tidas - mulher,V3353,V3353,Número de Filhos Tidos (Mulheres),V3353,Número de Filhos Tidos (Mulheres),Y,N,HIGH,3 sources agree
FLTIDOST,11.30,Total filhos tidos,V3351,V3351,Total de Filhos(as) Tidos(as),V3351,Total de Filhos(as) Tidos(as),Y,N,HIGH,3 sources agree
FLVIVOSH,11.31,Filhos vivos - homem,V3361,V3361,Número de Filhos Vivos (Homens),V3361,Número de Filhos Vivos (Homens),Y,N,HIGH,3 sources agree
FLVIVOSM,11.32,Filhas vivas - mulher,V3362,V3362,Número de Filhas Vivas (Mulheres),V3362,Número de Filhas Vivas (Mulheres),Y,N,HIGH,3 sources agree
FLVIVOST,11.33,Total filhos vivos,V3360,V3360,Total de Filhos(as) Vivos(as),V3360,Total de Filhos(as) Vivos(as),Y,N,HIGH,3 sources agree
HOROUTR,11.34,Horas trabalhadas em outras ocupacões,V0355,V0355,Horas Trabalhadas em Outras Ocupações,V0355,Horas Trabalhadas em Outras Ocupações,Y,N,HIGH,3 sources agree
HORTRAB,11.35,Horas trabalhadas ocupacao Q346,V0354,V0354,Horas Trabalhadas por Semana na Ocupação Principal,V0354,Horas Trabalhadas por Semana na Ocupação Principal,Y,N,HIGH,Q346 = quesito 346 = ocupação principal
IDADEANO,11.36,Idade em anos,V3072,V3072,Idade (em anos completos),V3072,Idade (em anos completos),Y,N,HIGH,3 sources agree
IDADEMES,11.37,Idade em meses,V3073,V3073,Idade (em meses completos),V3073,Idade (em meses completos),Y,N,HIGH,3 sources agree
IDADETIP,11.38,Tipo de idade,V3071,V3071,Tipo de Idade,V3071,Tipo de Idade,Y,N,HIGH,categorias 1=Presumida/2=Declarada idênticas
LOCTRAB,11.39,Local de trabalho,V0352,V0352,Local de Trabalho,V0352,Local de Trabalho,Y,N,HIGH,categorias 1-8 batem
MIANMOMU,11.40,Anos que mora no municipio,V0318,V0318,Anos em que mora no Município,V0318,Anos em que mora no Município,Y,N,HIGH,3 sources agree
MIANMOUF,11.41,Anos que mora na UF,V0317,V0317,Anos em que mora na Unidade da Federação,V0317,Anos em que mora na Unidade da Federação,Y,N,HIGH,3 sources agree
MIANORES,11.42,Ano fixou residencia,V3152,V3152,Ano que fixou residência no País,V3152,Ano que fixou residência no País,Y,N,HIGH,3 sources agree
MIANTEMU,11.43,Municipio moradia anterior,V3191,V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),Y,N,HIGH,"V3191 acompanha V0319 (UF anterior); 'moradia anterior' em A não fixa data, mas pareamento faz sentido (V3211 acompanha V0321=01/09/1986 explícito)"
MIANTEUF,11.44,Lugar de moradia anterior,V0319,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,Y,N,HIGH,categorias UF batem (54=Brasil ne / 80=País est. / 99=Ignorado)
MIANTEZN,11.45,Zona moradia anterior,V0320,V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),Y,N,HIGH,categorias 1=Urbana/2=Rural/9=Ignorada idênticas
MIMO86MU,11.46,Municipio moradia em 86,V3211,V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),Y,N,HIGH,3 sources agree
MIMO86UF,11.47,Lugar de moradia em 01/09/86,V0321,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,Y,N,HIGH,categorias UF batem (70=Neste município preservado)
MIMO86ZN,11.48,Zona de moradia em 86,V0322,V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),Y,N,HIGH,3 sources agree
