A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,FTP IBGE 2025 nova; v050 traz name_state derivado mas sem V-code IBGE histórico equivalente
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,3 fontes concordam
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,nome textual sem V-code histórico (apenas V7001 numérico existe)
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,HIGH,
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,sem V-code histórico para nome textual
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,HIGH,
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,sem V-code para nome textual; V1102 é código
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,categorias batem (0=Não Met. + 9 RMs)
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,8 categorias batem; A diz 'Setor' mas IBGE usa essa info como Sit. Domicílio
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,6 categorias batem
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,HIGH,
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,HIGH,
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,HIGH,
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,HIGH,
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,HIGH,
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,HIGH,
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,HIGH,
DEMODORM,9.17,Densidade morador dormitorio,V2121,V2121,Densidade de Moradores por Dormitório,V2121,Densidade de Moradores por Dormitório,Y,Y,HIGH,
ESPECIE,9.18,Especie do domicilio,V0201,V0201,Espécie do Domicílio,V0201,Espécie do Domicílio,Y,Y,HIGH,3 categorias batem
FILTRO,9.19,Filtro de agua,V0216,V0216,Filtro de Água,V0216,Filtro de Água,Y,Y,HIGH,
FREEZER,9.20,Freezer,V0225,V0225,Freezer,V0225,Freezer,Y,Y,HIGH,
GELADEIR,9.21,Geladeira,V0222,V0222,Geladeira,V0222,Geladeira,Y,Y,HIGH,
ILUMINA,9.22,Iluminacao,V0221,V0221,Iluminação,V0221,Iluminação,Y,Y,HIGH,
LIXO,9.23,Destino do lixo,V0214,V0214,Destino do Lixo,V0214,Destino do Lixo,Y,Y,HIGH,
LOCALIZA,9.24,Localizacao,V0202,V0202,Localização,V0202,Localização,Y,Y,HIGH,
MAQLAVAR,9.25,Maquina lavar roupa,V0226,V0226,Máquina de Lavar Roupa,V0226,Máquina de Lavar Roupa,Y,Y,HIGH,
PAREDES,9.26,Paredes,V0203,V0203,Paredes,V0203,Paredes,Y,Y,HIGH,
PESO,9.27,Peso de expansao,V7300,V7300,Peso ou Fator para Expansão da Amostra,V7300,Peso ou Fator para Expansão da Amostra,Y,Y,HIGH,REAL — para domicílio é V7300
RADIO,9.28,Radio,V0220,V0220,Rádio,V0220,Rádio,Y,Y,HIGH,
RDOMICIV,9.29,Renda domiciliar,V2012,V2012,Rendimento Nominal Médio Mensal Domiciliar,V2012,Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,
RDONOMIF,9.30,Faixa renda dom nominal,V2013,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,
RDOREALF,9.31,Faixa renda dom real,V2014,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,Y,Y,HIGH,
SANESCOA,9.32,Instalacao Sanit. - Escoadouro,V0206,V0206,Instalação Sanitária,V0206,Instalação Sanitária,Y,Y,HIGH,8 categorias batem
SANUSO,9.33,Inst Sanit - Uso,V0207,V0207,Uso da Instalação Sanitária,V0207,Uso da Instalação Sanitária,Y,Y,HIGH,
TELEFONE,9.34,Telefone,V0217,V0217,Telefone,V0217,Telefone,Y,Y,HIGH,
TVCORES,9.35,Televisao em cores,V0224,V0224,Televisão em Cores,V0224,Televisão em Cores,Y,Y,HIGH,
TVPRETO,9.36,Televisao em preto e branco,V0223,V0223,Televisão Preto e Branco,V0223,Televisão Preto e Branco,Y,Y,HIGH,
ESPFAM,10.1,Especie de familia,V2011,V2011,Espécie de Família,V2011,Espécie de Família,Y,N,HIGH,4 cat batem (Nuclear/Estendida/Composta/Unipessoal)
NUMFAM,10.2,Familia a que pertence,V0304,V0304,Tipo de Família,V0304,Tipo de Família,Y,N,HIGH,7 cat batem (Única/Coletivo/1ª-5ª família)
RFACHCAF,10.3,Faixa renda casal nominal,V3044,V3044,Faixas de Renda do Casal,V3044,Faixas de Renda do Casal,Y,N,HIGH,
RFACHCAV,10.4,Renda casal,V3043,V3043,Renda do Casal,V3043,Renda do Casal,Y,N,HIGH,
RFAMILIV,10.5,Renda familiar,V3045,V3045,Rendimento Nominal Médio Mensal Familiar,V3045,Rendimento Nominal Médio Mensal Familiar,Y,N,HIGH,
RFANOMIF,10.6,Faixa renda familiar nominal,V3046,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,Y,N,HIGH,
