A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,IBGE 2025 derived UF name string; v050 uses name_state instead. Not a numeric V-code in B/C/v050.
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,3 sources agree.
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,IBGE 2025 derived mesoregion name string; v050 has only V7001 numeric code (no name col).
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,HIGH,3 sources agree.
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,IBGE 2025 derived microregion name string; v050 has only V7002 numeric code (no name col).
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,HIGH,3 sources agree.
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,IBGE 2025 derived municipality name string; v050 uses code_muni numeric only (no V-code mapping for name).
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,3 sources agree; A adds Brasilia=10 / Vitoria=11 (post-1991 metro extensions) but base mapping is V7003.
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,3 sources agree.
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,8 categorias batem 1:1.
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,Categorias 1-6 batem perfeitamente. NSA=7 em A é convenção codificação; v050 trata como branco.
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,3 sources agree.
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,3 sources agree (rendimento numérico).
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,3 sources agree.
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,3 sources agree.
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,3 sources agree.
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,3 sources agree.
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,3 sources agree (CD 1.07 = controle).
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,3 sources agree.
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,HIGH,3 sources agree.
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,HIGH,3 sources agree.
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,HIGH,3 sources agree.
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,HIGH,3 sources agree.
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,HIGH,3 sources agree.
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,HIGH,3 sources agree (REAL).
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,HIGH,3 sources agree.
DEMODORM,9.17,Densidade morador dormitorio,V2121,V2121,Densidade de Moradores por Dormitório,V2121,Densidade de Moradores por Dormitório,Y,Y,HIGH,3 sources agree (REAL).
ESPECIE,9.18,Especie do domicilio,V0201,V0201,Espécie do Domicílio,V0201,Espécie do Domicílio,Y,Y,HIGH,3 sources agree.
FILTRO,9.19,Filtro de agua,V0216,V0216,Filtro de Água,V0216,Filtro de Água,Y,Y,HIGH,3 sources agree.
