"file_raw","dataset_name","column_name","column_order","type_parquet","source_sheet","source_name_original","theme","label_pt","categories","coverage_notes","key_role","join_key","present_in_workbook_dict","present_in_md_dict","notes"
"2010_Basico.parquet","Basico","code_tract","1","string","Identificação Geográfica","Cod_setor","Identificação Geográfica","Código do setor censitário","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","primary_key","yes","not_applicable","yes",""
"2010_Basico.parquet","Basico","code_weighting","2","string","","","Identificação Geográfica","Código da área de ponderação","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","geo_id","possible","not_applicable","no","Label inferred from the parquet column name; there is no equivalent variable explicitly documented in the source Markdown."
"2010_Basico.parquet","Basico","code_muni","3","string","Identificação Geográfica","Cod_município","Identificação Geográfica","Código do município","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","geo_id","possible","not_applicable","yes",""
"2010_Basico.parquet","Basico","name_muni","4","string","Identificação Geográfica","Nome_do_município","Identificação Geográfica","Nome do município","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","descriptor","no","not_applicable","yes",""
"2010_Basico.parquet","Basico","code_state","5","string","Identificação Geográfica","Cod_UF","Identificação Geográfica","Código da Unidade da Federação","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","geo_id","possible","not_applicable","yes",""
"2010_Basico.parquet","Basico","abbrev_state","6","string","","","Identificação Geográfica","Sigla da Unidade da Federação","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","descriptor","no","not_applicable","no","Label inferred from the parquet column name; there is no equivalent variable explicitly documented in the source Markdown."
"2010_Basico.parquet","Basico","name_state","7","string","Identificação Geográfica","Nome_da_UF","Identificação Geográfica","Nome da Unidade da Federação","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","descriptor","no","not_applicable","yes",""
"2010_Basico.parquet","Basico","code_region","8","string","Identificação Geográfica","Cod_das_Grandes_Regiões","Identificação Geográfica","Código das Grandes Regiões (Regiões Geográficas)","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","geo_id","possible","not_applicable","yes",""
"2010_Basico.parquet","Basico","name_region","9","string","Identificação Geográfica","Nome_das_Grandes_Regiões","Identificação Geográfica","Nome das Grandes Regiões (Regiões Geográficas)","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","descriptor","no","not_applicable","yes",""
"2010_Basico.parquet","Basico","code_meso","10","string","Identificação Geográfica","Cod_meso","Identificação Geográfica","Código da mesorregião","","Basic universe with 310120 unique tracts and no `code_tract` duplicates.","geo_id","possible","not_applicable","yes",""
